Group,Type,Sample,Source,CPM,UNK
B,Mouse,Organ,Thymus,0,0
C,Mouse,Organ,Thymus,17,0
C,Mouse,Organ,Thymus,30,68.92
C,Mouse,Organ,Thymus,6,0
C,Mouse,Organ,Thymus,24,0
D,Mouse,Organ,Thymus,0,0
D,Mouse,Organ,Thymus,22,0
D,Mouse,Organ,Thymus,9,0
D,Mouse,Organ,Thymus,30,52.61
E,Mouse,Organ,Thymus,8,0
E,Mouse,Organ,Thymus,31,12.68
E,Mouse,Organ,Thymus,12,0
E,Mouse,Organ,Thymus,32,80.24
A,Mouse,Organ,Heart,8,0
A,Mouse,Organ,Heart,3,0
A,Mouse,Organ,Heart,0,0
A,Mouse,Organ,Heart,6,0
B,Mouse,Organ,Heart,0,0
B,Mouse,Organ,Heart,3,0
B,Mouse,Organ,Heart,2,0
B,Mouse,Organ,Heart,2,0
C,Mouse,Organ,Heart,34,48.47
C,Mouse,Organ,Heart,67,141.23
C,Mouse,Organ,Heart,61,92.84
C,Mouse,Organ,Heart,41,60.75
D,Mouse,Organ,Heart,12,0
D,Mouse,Organ,Heart,50,143.12
D,Mouse,Organ,Heart,25,0
D,Mouse,Organ,Heart,25,0
E,Mouse,Organ,Heart,42,163.65
E,Mouse,Organ,Heart,56,178.43
E,Mouse,Organ,Heart,53,128.79
E,Mouse,Organ,Heart,67,191.15
A,Mouse,Organ,Lungs,26,0
A,Mouse,Organ,Lungs,17,0
A,Mouse,Organ,Lungs,11,0
A,Mouse,Organ,Lungs,15,0
B,Mouse,Organ,Lungs,0,0
B,Mouse,Organ,Lungs,0,0
B,Mouse,Organ,Lungs,0,0
B,Mouse,Organ,Lungs,3,441.2
C,Mouse,Organ,Lungs,57,83.23
C,Mouse,Organ,Lungs,70,149.97
C,Mouse,Organ,Lungs,112,194.45
C,Mouse,Organ,Lungs,55,128.38
D,Mouse,Organ,Lungs,23,35.94
D,Mouse,Organ,Lungs,75,146.97
D,Mouse,Organ,Lungs,51,96.3
D,Mouse,Organ,Lungs,63,90.12
E,Mouse,Organ,Lungs,66,101.81
E,Mouse,Organ,Lungs,101,141.17
E,Mouse,Organ,Lungs,85,208.26
E,Mouse,Organ,Lungs,68,181.66
A,Mouse,Organ,Kidneys,46,53.6
A,Mouse,Organ,Kidneys,22,0
A,Mouse,Organ,Kidneys,35,79.52
A,Mouse,Organ,Kidneys,38,104.22
B,Mouse,Organ,Kidneys,37,138.62
B,Mouse,Organ,Kidneys,57,130.12
B,Mouse,Organ,Kidneys,31,0
B,Mouse,Organ,Kidneys,24,0
C,Mouse,Organ,Kidneys,209,182.42
C,Mouse,Organ,Kidneys,191,202.42
C,Mouse,Organ,Kidneys,210,220.58
C,Mouse,Organ,Kidneys,210,181.02
D,Mouse,Organ,Kidneys,48,14
D,Mouse,Organ,Kidneys,134,211.48
D,Mouse,Organ,Kidneys,134,195.55
D,Mouse,Organ,Kidneys,138,197.19
E,Mouse,Organ,Kidneys,273,221.84
E,Mouse,Organ,Kidneys,265,231.83
E,Mouse,Organ,Kidneys,253,212.52
E,Mouse,Organ,Kidneys,245,215.91
A,Mouse,Organ,Spleen,54,117.37
A,Mouse,Organ,Spleen,42,45.5
A,Mouse,Organ,Spleen,20,108.76
A,Mouse,Organ,Spleen,106,167.85
B,Mouse,Organ,Spleen,0,0
B,Mouse,Organ,Spleen,1,0
B,Mouse,Organ,Spleen,2,0
B,Mouse,Organ,Spleen,2,0
C,Mouse,Organ,Spleen,55,70.24
C,Mouse,Organ,Spleen,43,130.53
C,Mouse,Organ,Spleen,51,103.13
C,Mouse,Organ,Spleen,42,101.33
D,Mouse,Organ,Spleen,14,0
D,Mouse,Organ,Spleen,66,173.83
D,Mouse,Organ,Spleen,73,231.35
D,Mouse,Organ,Spleen,52,143.84
E,Mouse,Organ,Spleen,59,190.17
E,Mouse,Organ,Spleen,56,138.63
E,Mouse,Organ,Spleen,61,69.58
E,Mouse,Organ,Spleen,71,148.47
A,Mouse,Organ,Liver,1547,232.18
